10000.	1.4985218499362438e-11
10472.898382363584	1.2253070535401362e-11
10968.160052731379	1.263980792954863e-11
11486.842567375537	6.028933579257896e-13
12030.053494233243	7.159853514118707e-12
12598.952777950273	1.0097588080977665e-11
13194.755216767062	6.412113384143838e-12
13818.733056536323	1.7341588686118256e-12
14472.218707411348	6.999709508178077e-12
15156.607589006033	1.5149915501519192e-12
15873.36111010209	8.28802500259177e-14
16624.009789266125	2.5175293199276474e-12
17410.15652304016	6.527773753916852e-13
18233.48000868441	1.6552137699544916e-12
19095.73832878097	3.1500582647424376e-12
19998.772705352858	3.3809350742306375e-12
20944.511431514697	3.953514706099353e-12
21934.97398905059	4.326624614389982e-12
22972.275360711526	3.792268225927797e-12
24058.630546440658	3.8448791604082606e-12
25196.35929317015	2.1782610388936162e-12
26387.891048289337	1.911290187942929e-13
27635.770147361596	3.145549837759335e-12
28942.661247167507	2.4704775968646276e-12
30311.355015675785	1.3241132627316206e-12
31744.774091091924	2.5651205858264935e-12
33245.979322709405	8.692003352235259e-13
34818.17630688965	6.2683440956034e-13
36464.722232127475	6.746636178975017e-14
38189.133047818534	5.321181317396206e-14
39995.09097203665	6.732064585731711e-14
41886.4523543527	1.7060569843775854e-12
43867.255910484986	1.509908374405531e-12
45941.73134636476	1.8011404730998714e-12
48114.308390032595	1.4062277628441018e-12
50389.626250651505	2.3270113975413468e-14
52772.54352483538	1.2003456899748616e-12
55268.14857144603	3.024306833454668e-14
57881.77037701275	7.740090079059969e-13
60618.989934975725	1.8287286296257725e-12
63485.65216305217	1.3503102527747881e-12
66487.87838417263	3.002194700101299e-13
69632.07939763884	1.2388360599153045e-12
72924.96916841445	1.5842173535426053e-12
76373.57916378023	3.052004786942638e-13
79985.27336796712	8.526378981280372e-13
83767.76400682918	1.7835374096298164e-12
87729.12801613362	8.214588218132157e-13
91877.82428863335	1.727959130244843e-12
96222.71173675139	5.895137566626747e-13
100773.06820944611	1.3741260823359208e-12
105538.61030365237	2.6355661051163103e-13
110529.51411260215	3.741448251830882e-14
115756.43695533038	1.2951504587486554e-12
121230.54013376519	1.5001434489059956e-12
126963.51276599735	9.91948494755697e-13
132967.5967466212	1.7024448057402038e-12
139255.6128874463	1.5203930081303314e-13
145840.9882943986	9.551383568247542e-13
152737.7850390714	1.1175911873375068e-12
159960.73018614875	1.6664210334103818e-12
167525.2472408215	5.8354787686307e-13
175447.4890833459	5.025563317965218e-13
183744.37246107266	2.706842049107622e-13
